model,fpr,tpr,threshold,curve,model_key,display_model,precision,recall
Ours,0.2507188039102933,0.7977602108036891,0.0053634285,ROC,ours_full,Ours,,
Ours,0.2643281579451792,0.7977602108036891,0.0049344185,ROC,ours_full,Ours,,
Ours,0.2643281579451792,0.7984189723320159,0.004930725,ROC,ours_full,Ours,,
Ours,0.2689285029710561,0.7984189723320159,0.00477561,ROC,ours_full,Ours,,
Ours,0.2689285029710561,0.7990777338603425,0.004770706,ROC,ours_full,Ours,,
Ours,0.2775541498945754,0.7990777338603425,0.0045226705,ROC,ours_full,Ours,,
Ours,0.2775541498945754,0.7997364953886693,0.0045211446,ROC,ours_full,Ours,,
Ours,0.2821544949204523,0.7997364953886693,0.004418028,ROC,ours_full,Ours,,
Ours,0.2821544949204523,0.8003952569169961,0.0044103293,ROC,ours_full,Ours,,
Ours,0.2846463484761357,0.8003952569169961,0.0043679015,ROC,ours_full,Ours,,
Ours,0.2846463484761357,0.8010540184453228,0.0043567214,ROC,ours_full,Ours,,
Ours,0.2963388920835729,0.8010540184453228,0.004096331,ROC,ours_full,Ours,,
Ours,0.2963388920835729,0.8017127799736495,0.004094806,ROC,ours_full,Ours,,
Ours,0.2971056162545524,0.8017127799736495,0.004087404,ROC,ours_full,Ours,,
Ours,0.2971056162545524,0.8023715415019763,0.0040865247,ROC,ours_full,Ours,,
Ours,0.3003641939812153,0.8023715415019763,0.0040131323,ROC,ours_full,Ours,,
Ours,0.3003641939812153,0.803030303030303,0.0040122536,ROC,ours_full,Ours,,
Ours,0.3120567375886525,0.803030303030303,0.003791412,ROC,ours_full,Ours,,
Ours,0.3120567375886525,0.8036890645586298,0.003791011,ROC,ours_full,Ours,,
Ours,0.3164654015717845,0.8036890645586298,0.0037100757,ROC,ours_full,Ours,,
Ours,0.3164654015717845,0.8043478260869565,0.003707482,ROC,ours_full,Ours,,
Ours,0.3189572551274679,0.8043478260869565,0.003646482,ROC,ours_full,Ours,,
Ours,0.3189572551274679,0.8050065876152833,0.0036448403,ROC,ours_full,Ours,,
Ours,0.3283496262219667,0.8050065876152833,0.003499703,ROC,ours_full,Ours,,
Ours,0.3283496262219667,0.80566534914361,0.003499605,ROC,ours_full,Ours,,
Ours,0.3310331608203948,0.80566534914361,0.0034659787,ROC,ours_full,Ours,,
Ours,0.3310331608203948,0.8063241106719368,0.0034653891,ROC,ours_full,Ours,,
Ours,0.3362085489745064,0.8063241106719368,0.0033522325,ROC,ours_full,Ours,,
Ours,0.3362085489745064,0.8069828722002635,0.0033482967,ROC,ours_full,Ours,,
Ours,0.3390837646156795,0.8069828722002635,0.003288039,ROC,ours_full,Ours,,
Ours,0.3390837646156795,0.8076416337285902,0.0032846062,ROC,ours_full,Ours,,
Ours,0.3411922560858731,0.8076416337285902,0.0032437614,ROC,ours_full,Ours,,
Ours,0.3411922560858731,0.808300395256917,0.00324191,ROC,ours_full,Ours,,
Ours,0.3465593252827295,0.808300395256917,0.003122108,ROC,ours_full,Ours,,
Ours,0.3465593252827295,0.8089591567852438,0.0031214666,ROC,ours_full,Ours,,
Ours,0.348859497795668,0.8089591567852438,0.0031001966,ROC,ours_full,Ours,,
Ours,0.348859497795668,0.8096179183135704,0.003095352,ROC,ours_full,Ours,,
Ours,0.3519263944795859,0.8096179183135704,0.0030537986,ROC,ours_full,Ours,,
Ours,0.3519263944795859,0.8102766798418972,0.0030511562,ROC,ours_full,Ours,,
Ours,0.3523097565650757,0.8102766798418972,0.0030408667,ROC,ours_full,Ours,,
